Region,Province,Municipality,2016-Registered_Voters,2016-Registered_Male,2016-Registered_Female,2016-Registered_17-19,2016-Registered_20-24,2016-Registered_25-29,2016-Registered_30-34,2016-Registered_35-39,2016-Registered_40-44,2016-Registered_45-49,2016-Registered_50-54,2016-Registered_55-59,2016-Registered_60-64,2016-Registered_65-Above,2016-Registered_Literacy,2016-Registered_Indigenous_People,2016-Registered_PWD,2016-Registered_Single,2016-Registered_Married,2016-Registered_Widow_ER,2016-Registered_Legally_Separated,Location,2019-Established_Precincts,2019-Clustered_Precincts,2019-Registered_Voters,2019-Registered_Male,2019-Registered_Female,2019-Actual_Voters,2019-Actual_Voters_Male,2019-Actual_Voters_Female,2019-Total_Voters_Turnout,2019-Male_Voters_Turnout,2019-Female_Voters_Turnout
ARMM,BASILAN,AKBAR,5349.0,2560.0,2789.0,137.0,1411.0,674.0,613.0,520.0,473.0,423.0,332.0,245.0,189.0,332.0,37.02,0.0,6.0,2056.0,2985.0,248.0,60.0,"AKBAR, BASILAN, ARMM",43,11,6183,2943,3240,4303,1942,2361,69.59,65.99,72.87
ARMM,BASILAN,AL-BARKA,7332.0,3371.0,3961.0,46.0,1903.0,1029.0,936.0,725.0,758.0,581.0,400.0,318.0,241.0,395.0,40.94,0.0,6.0,2515.0,4402.0,295.0,120.0,"AL-BARKA, BASILAN, ARMM",71,16,9074,4284,4790,6782,3110,3672,74.74,72.6,76.66
ARMM,BASILAN,HADJI MOHAMMAD AJUL,8594.0,4299.0,4295.0,1232.0,1716.0,1162.0,908.0,767.0,824.0,645.0,480.0,278.0,241.0,341.0,25.1,0.0,18.0,2877.0,5246.0,321.0,150.0,"HADJI MOHAMMAD AJUL, BASILAN, ARMM",72,16,11193,5664,5529,6906,3535,3371,61.7,62.41,60.97
ARMM,BASILAN,HADJI MUHTAMAD,8135.0,4326.0,3809.0,211.0,1809.0,1227.0,1095.0,880.0,790.0,565.0,461.0,352.0,286.0,459.0,31.1,0.0,26.0,2532.0,5284.0,259.0,60.0,"HADJI MUHTAMAD, BASILAN, ARMM",51,15,9373,4968,4405,6428,3401,3027,68.58,68.46,68.72
ARMM,BASILAN,LAMITAN CITY,45827.0,22505.0,23322.0,5623.0,7227.0,5375.0,4767.0,4122.0,4267.0,3945.0,3345.0,2475.0,1839.0,2842.0,40.21,0.0,160.0,16399.0,26821.0,2131.0,476.0,"LAMITAN CITY, BASILAN, ARMM",322,73,51623,25447,26176,37589,18835,18754,72.81,74.02,71.65
ARMM,BASILAN,LANTAWAN,12011.0,6129.0,5882.0,1792.0,2237.0,1512.0,1261.0,997.0,1120.0,900.0,716.0,570.0,393.0,513.0,35.41,0.0,16.0,4015.0,7313.0,580.0,103.0,"LANTAWAN, BASILAN, ARMM",82,27,13075,6740,6335,9921,5075,4846,75.88,75.3,76.5
ARMM,BASILAN,MALUSO,23436.0,11514.0,11922.0,3752.0,4421.0,3202.0,2678.0,2124.0,1932.0,1615.0,1291.0,906.0,655.0,860.0,53.17,0.0,32.0,8918.0,13498.0,755.0,265.0,"MALUSO, BASILAN, ARMM",144,35,25765,12706,13059,16423,8087,8336,63.74,63.65,63.83
ARMM,BASILAN,SUMISIP,20849.0,9983.0,10866.0,615.0,4421.0,2924.0,2743.0,2261.0,1982.0,1704.0,1371.0,1018.0,683.0,1127.0,37.4,0.0,13.0,6603.0,12880.0,933.0,433.0,"SUMISIP, BASILAN, ARMM",137,38,23610,11483,12127,13696,6459,7237,58.01,56.25,59.68
ARMM,BASILAN,TABUAN-LASA,12107.0,6465.0,5642.0,4127.0,2075.0,1295.0,1090.0,871.0,712.0,556.0,466.0,295.0,265.0,355.0,52.02,0.0,33.0,6803.0,4880.0,322.0,102.0,"TABUAN-LASA, BASILAN, ARMM",81,19,13707,7346,6361,10881,5903,4978,79.38,80.36,78.26
ARMM,BASILAN,TIPO-TIPO,9658.0,4476.0,5182.0,480.0,2206.0,1255.0,1214.0,960.0,939.0,762.0,647.0,440.0,263.0,492.0,43.8,0.0,1.0,3267.0,5800.0,383.0,208.0,"TIPO-TIPO, BASILAN, ARMM",65,17,12135,5761,6374,8411,3964,4447,69.31,68.81,69.77
ARMM,BASILAN,TUBURAN,5287.0,2485.0,2802.0,64.0,1196.0,716.0,661.0,538.0,498.0,462.0,392.0,257.0,189.0,314.0,23.32,0.0,9.0,1644.0,3322.0,237.0,84.0,"TUBURAN, BASILAN, ARMM",34,11,5456,2551,2905,4854,2321,2533,88.97,90.98,87.19
ARMM,BASILAN,UNGKAYA PUKAN,9015.0,4291.0,4724.0,288.0,1944.0,1247.0,1222.0,1013.0,856.0,762.0,614.0,399.0,231.0,439.0,36.11,0.0,28.0,2787.0,5637.0,397.0,194.0,"UNGKAYA PUKAN, BASILAN, ARMM",60,15,10442,5056,5386,7049,3409,3640,67.51,67.42,67.58
ARMM,LANAO DEL SUR,BACOLOD-KALAWI (BACOLOD GRANDE),6380.0,3107.0,3273.0,289.0,1546.0,912.0,701.0,567.0,583.0,564.0,368.0,254.0,199.0,397.0,97.88,0.0,12.0,2890.0,3184.0,257.0,49.0,"BACOLOD-KALAWI (BACOLOD GRANDE), LANAO DEL SUR, ARMM",48,26,6873,3327,3546,5152,2399,2753,74.96,72.11,77.64
ARMM,LANAO DEL SUR,BALABAGAN,14335.0,7076.0,7259.0,2475.0,2718.0,1627.0,1519.0,1374.0,1319.0,960.0,822.0,552.0,427.0,542.0,99.17,0.0,11.0,5545.0,8331.0,405.0,54.0,"BALABAGAN, LANAO DEL SUR, ARMM",96,31,15816,7882,7934,11169,5566,5603,70.62,70.62,70.62
ARMM,LANAO DEL SUR,BALINDONG (WATU),13670.0,6319.0,7351.0,554.0,3202.0,1869.0,1434.0,1374.0,1254.0,1098.0,838.0,641.0,522.0,884.0,100.0,0.0,1.0,5658.0,7408.0,486.0,118.0,"BALINDONG (WATU), LANAO DEL SUR, ARMM",99,39,15782,7352,8430,12354,5742,6612,78.28,78.1,78.43
ARMM,LANAO DEL SUR,BAYANG,12949.0,6280.0,6669.0,1095.0,3793.0,1827.0,1353.0,1263.0,930.0,818.0,549.0,428.0,299.0,594.0,52.89,0.0,9.0,6434.0,6093.0,318.0,104.0,"BAYANG, LANAO DEL SUR, ARMM",115,49,16453,8353,8100,12728,6462,6266,77.36,77.36,77.36
ARMM,LANAO DEL SUR,BINIDAYAN,7845.0,3785.0,4060.0,511.0,2544.0,1033.0,728.0,671.0,579.0,511.0,373.0,276.0,230.0,389.0,100.0,0.0,0.0,3907.0,3619.0,263.0,56.0,"BINIDAYAN, LANAO DEL SUR, ARMM",62,26,9897,4940,4957,7513,3693,3820,75.91,74.76,77.06
ARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,10518.0,5286.0,5232.0,376.0,2890.0,1768.0,1117.0,1023.0,872.0,738.0,516.0,384.0,288.0,546.0,99.77,0.0,8.0,4886.0,5209.0,344.0,79.0,"BUADIPOSO-BUNTONG, LANAO DEL SUR, ARMM",75,33,10538,5378,5160,5271,2690,2581,50.02,50.02,50.02
ARMM,LANAO DEL SUR,BUBONG,11388.0,5441.0,5947.0,802.0,3231.0,1540.0,1140.0,984.0,930.0,771.0,636.0,440.0,350.0,564.0,100.0,0.0,0.0,5327.0,5572.0,375.0,114.0,"BUBONG, LANAO DEL SUR, ARMM",86,36,12979,6282,6697,8956,4177,4779,69.0,66.49,71.36
ARMM,LANAO DEL SUR,BUMBARAN,5154.0,2818.0,2336.0,165.0,1211.0,798.0,613.0,529.0,443.0,422.0,333.0,255.0,180.0,205.0,29.3,0.0,14.0,1851.0,3154.0,107.0,42.0,"BUMBARAN, LANAO DEL SUR, ARMM",38,18,5498,2963,2535,9807,5295,4512,178.37,178.7,177.99
ARMM,LANAO DEL SUR,BUTIG,11237.0,5620.0,5617.0,2136.0,2683.0,1607.0,1073.0,995.0,872.0,629.0,439.0,286.0,207.0,310.0,98.51,0.0,14.0,5053.0,5910.0,215.0,59.0,"BUTIG, LANAO DEL SUR, ARMM",71,19,12135,5992,6143,8833,4133,4700,72.79,68.98,76.51
ARMM,LANAO DEL SUR,CALANOGAS,5621.0,2342.0,3279.0,621.0,1309.0,749.0,631.0,634.0,557.0,413.0,294.0,151.0,134.0,128.0,19.12,0.0,4.0,1813.0,3641.0,134.0,33.0,"CALANOGAS, LANAO DEL SUR, ARMM",40,17,6386,2740,3646,4535,1919,2616,71.01,70.04,71.75
ARMM,LANAO DEL SUR,DITSAAN-RAMAIN,17368.0,8259.0,9109.0,1254.0,4924.0,2479.0,1833.0,1442.0,1355.0,1156.0,882.0,651.0,481.0,911.0,99.33,0.0,26.0,8681.0,7926.0,565.0,196.0,"DITSAAN-RAMAIN, LANAO DEL SUR, ARMM",117,36,18457,8903,9554,14193,6536,7657,76.9,73.41,80.14
ARMM,LANAO DEL SUR,GANASSI,8326.0,4014.0,4312.0,404.0,2391.0,1124.0,832.0,758.0,665.0,690.0,432.0,329.0,243.0,458.0,99.42,0.0,3.0,4102.0,3946.0,236.0,42.0,"GANASSI, LANAO DEL SUR, ARMM",62,32,9213,4475,4738,6744,3266,3478,73.2,72.98,73.41
